"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2019Q1","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q1","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","509.26"
"Average Weekly Earnings","2019Q1","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q1","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q1","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","All NACE economic sectors","All employees","Euro","771.63"
"Average Weekly Earnings","2019Q2","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Mining and quarrying (B)","All employees","Euro","952.06"
"Average Weekly Earnings","2019Q2","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Manufacturing (C)","All employees","Euro","880.32"
"Average Weekly Earnings","2019Q2","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Construction (F)","All employees","Euro","789.4"
"Average Weekly Earnings","2019Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","593.43"
"Average Weekly Earnings","2019Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Transportation and storage (H)","All employees","Euro","846.43"
"Average Weekly Earnings","2019Q2","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Accommodation and food service activities (I)","All employees","Euro","365.97"
"Average Weekly Earnings","2019Q2","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Information and communication (J)","All employees","Euro","1198.52"
"Average Weekly Earnings","2019Q2","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Financial and insurance activities (K)","All employees","Euro","1203.17"
"Average Weekly Earnings","2019Q2","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Real estate activities (L)","All employees","Euro","718.87"
"Average Weekly Earnings","2019Q2","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Professional, scientific and technical activities (M)","All employees","Euro","952.94"
"Average Weekly Earnings","2019Q2","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Administrative and support service activities (N)","All employees","Euro","618.19"
"Average Weekly Earnings","2019Q2","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Public administration and defence; compulsory social security (O)","All employees","Euro","972.6"
"Average Weekly Earnings","2019Q2","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Education (P)","All employees","Euro","852.77"
"Average Weekly Earnings","2019Q2","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Human health and social work activities (Q)","All employees","Euro","749.62"
"Average Weekly Earnings","2019Q2","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Arts, entertainment and recreation (R)","All employees","Euro","528.71"
"Average Weekly Earnings","2019Q2","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Other service activities (S)","All employees","Euro","465.01"
"Average Weekly Earnings","2019Q2","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Industry (B to E)","All employees","Euro","898.55"
"Average Weekly Earnings","2019Q2","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Electricity, water supply and waste management (D,E)","All employees","Euro","1089.33"
"Average Weekly Earnings","2019Q2","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Financial, insurance and real estate activities (K,L)","All employees","Euro","1151.37"
"Average Weekly Earnings","2019Q2","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","498.42"
"Average Weekly Earnings","2019Q2","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","All NACE economic sectors","All employees","Euro","769.14"
"Average Weekly Earnings","2019Q3","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Mining and quarrying (B)","All employees","Euro","953.16"
"Average Weekly Earnings","2019Q3","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Manufacturing (C)","All employees","Euro","861.95"
"Average Weekly Earnings","2019Q3","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Construction (F)","All employees","Euro","804.64"
"Average Weekly Earnings","2019Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","597.26"
"Average Weekly Earnings","2019Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Transportation and storage (H)","All employees","Euro","833.22"
"Average Weekly Earnings","2019Q3","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Accommodation and food service activities (I)","All employees","Euro","376.82"
"Average Weekly Earnings","2019Q3","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Information and communication (J)","All employees","Euro","1241.45"
"Average Weekly Earnings","2019Q3","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Financial and insurance activities (K)","All employees","Euro","1133.08"
"Average Weekly Earnings","2019Q3","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Real estate activities (L)","All employees","Euro","713.72"
"Average Weekly Earnings","2019Q3","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Professional, scientific and technical activities (M)","All employees","Euro","948"
"Average Weekly Earnings","2019Q3","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Administrative and support service activities (N)","All employees","Euro","607.68"
"Average Weekly Earnings","2019Q3","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Public administration and defence; compulsory social security (O)","All employees","Euro","966.73"
"Average Weekly Earnings","2019Q3","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Education (P)","All employees","Euro","865.6"
"Average Weekly Earnings","2019Q3","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Human health and social work activities (Q)","All employees","Euro","727.1"
"Average Weekly Earnings","2019Q3","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Arts, entertainment and recreation (R)","All employees","Euro","528.78"
"Average Weekly Earnings","2019Q3","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Other service activities (S)","All employees","Euro","456.52"
"Average Weekly Earnings","2019Q3","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Industry (B to E)","All employees","Euro","883.24"
"Average Weekly Earnings","2019Q3","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Electricity, water supply and waste management (D,E)","All employees","Euro","1137.63"
"Average Weekly Earnings","2019Q3","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Financial, insurance and real estate activities (K,L)","All employees","Euro","1090.2"
"Average Weekly Earnings","2019Q3","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","494.22"
"Average Weekly Earnings","2019Q3","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","All NACE economic sectors","All employees","Euro","786.33"
"Average Weekly Earnings","2019Q4","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Mining and quarrying (B)","All employees","Euro","905.96"
"Average Weekly Earnings","2019Q4","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Manufacturing (C)","All employees","Euro","902.16"
"Average Weekly Earnings","2019Q4","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Construction (F)","All employees","Euro","841.01"
"Average Weekly Earnings","2019Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","602.86"
"Average Weekly Earnings","2019Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Transportation and storage (H)","All employees","Euro","827.71"
"Average Weekly Earnings","2019Q4","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Accommodation and food service activities (I)","All employees","Euro","379.14"
"Average Weekly Earnings","2019Q4","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Information and communication (J)","All employees","Euro","1240.01"
"Average Weekly Earnings","2019Q4","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Financial and insurance activities (K)","All employees","Euro","1176.88"
"Average Weekly Earnings","2019Q4","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Real estate activities (L)","All employees","Euro","739.6"
"Average Weekly Earnings","2019Q4","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Professional, scientific and technical activities (M)","All employees","Euro","974.01"
"Average Weekly Earnings","2019Q4","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Administrative and support service activities (N)","All employees","Euro","625.61"
"Average Weekly Earnings","2019Q4","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Public administration and defence; compulsory social security (O)","All employees","Euro","976.49"
"Average Weekly Earnings","2019Q4","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Education (P)","All employees","Euro","881.35"
"Average Weekly Earnings","2019Q4","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Human health and social work activities (Q)","All employees","Euro","750.94"
"Average Weekly Earnings","2019Q4","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Arts, entertainment and recreation (R)","All employees","Euro","548.61"
"Average Weekly Earnings","2019Q4","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Other service activities (S)","All employees","Euro","490.05"
"Average Weekly Earnings","2019Q4","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Industry (B to E)","All employees","Euro","915"
"Average Weekly Earnings","2019Q4","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Electricity, water supply and waste management (D,E)","All employees","Euro","1094.33"
"Average Weekly Earnings","2019Q4","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Financial, insurance and real estate activities (K,L)","All employees","Euro","1130.07"
"Average Weekly Earnings","2019Q4","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","522.72"
"Average Weekly Earnings","2019Q4","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","All NACE economic sectors","All employees","Euro","800.31"
"Average Weekly Earnings","2020Q1","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Mining and quarrying (B)","All employees","Euro","935.9"
"Average Weekly Earnings","2020Q1","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Manufacturing (C)","All employees","Euro","941.88"
"Average Weekly Earnings","2020Q1","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Construction (F)","All employees","Euro","834.22"
"Average Weekly Earnings","2020Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","619.46"
"Average Weekly Earnings","2020Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Transportation and storage (H)","All employees","Euro","823.02"
"Average Weekly Earnings","2020Q1","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
