"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2008Q2","Transportation and storage (H)","All employees","Euro","779.85"
"Average Weekly Earnings","2008Q2","Transportation and storage (H)","Managers, professionals and associated professionals","Euro","1448.83"
"Average Weekly Earnings","2008Q2","Transportation and storage (H)","Clerical, sales and service employees","Euro","679.23"
"Average Weekly Earnings","2008Q2","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro","710.6"
"Average Weekly Earnings","2008Q2","Accommodation and food service activities (I)","All employees","Euro","346.15"
"Average Weekly Earnings","2008Q2","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro","674.07"
"Average Weekly Earnings","2008Q2","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro","305.01"
"Average Weekly Earnings","2008Q2","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro","306.43"
"Average Weekly Earnings","2008Q2","Information and communication (J)","All employees","Euro","920.1"
"Average Weekly Earnings","2008Q2","Information and communication (J)","Managers, professionals and associated professionals","Euro","1188.3"
"Average Weekly Earnings","2008Q2","Information and communication (J)","Clerical, sales and service employees","Euro","636.21"
"Average Weekly Earnings","2008Q2","Information and communication (J)","Production, transport, craft and other manual workers","Euro","717.43"
"Average Weekly Earnings","2008Q2","Financial and insurance activities (K)","All employees","Euro","1118.38"
"Average Weekly Earnings","2008Q2","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q2","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q2","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q2","Real estate activities (L)","All employees","Euro","759.64"
"Average Weekly Earnings","2008Q2","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q2","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q2","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q2","Professional, scientific and technical activities (M)","All employees","Euro","812.93"
"Average Weekly Earnings","2008Q2","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro","1100.19"
"Average Weekly Earnings","2008Q2","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro","500.03"
"Average Weekly Earnings","2008Q2","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro","566.81"
"Average Weekly Earnings","2008Q2","Administrative and support service activities (N)","All employees","Euro","485.73"
"Average Weekly Earnings","2008Q2","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro","966.95"
"Average Weekly Earnings","2008Q2","Administrative and support service activities (N)","Clerical, sales and service employees","Euro","475.29"
"Average Weekly Earnings","2008Q2","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro","356.22"
"Average Weekly Earnings","2008Q2","Public administration and defence; compulsory social security (O)","All employees","Euro","980.74"
"Average Weekly Earnings","2008Q2","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro","1152.18"
"Average Weekly Earnings","2008Q2","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro","885.28"
"Average Weekly Earnings","2008Q2","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro","702.48"
"Average Weekly Earnings","2008Q2","Education (P)","All employees","Euro","849.71"
"Average Weekly Earnings","2008Q2","Education (P)","Managers, professionals and associated professionals","Euro","971.54"
"Average Weekly Earnings","2008Q2","Education (P)","Clerical, sales and service employees","Euro","500.6"
"Average Weekly Earnings","2008Q2","Education (P)","Production, transport, craft and other manual workers","Euro","417.28"
"Average Weekly Earnings","2008Q2","Human health and social work activities (Q)","All employees","Euro","748.05"
"Average Weekly Earnings","2008Q2","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro","1040.54"
"Average Weekly Earnings","2008Q2","Human health and social work activities (Q)","Clerical, sales and service employees","Euro","491.32"
"Average Weekly Earnings","2008Q2","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro","464.93"
"Average Weekly Earnings","2008Q2","Arts, entertainment and recreation (R)","All employees","Euro","450.8"
"Average Weekly Earnings","2008Q2","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q2","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q2","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q2","Other service activities (S)","All employees","Euro","535.44"
"Average Weekly Earnings","2008Q2","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q2","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q2","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q2","Industry (B to E)","All employees","Euro","783.37"
"Average Weekly Earnings","2008Q2","Industry (B to E)","Managers, professionals and associated professionals","Euro","1188.44"
"Average Weekly Earnings","2008Q2","Industry (B to E)","Clerical, sales and service employees","Euro","740.44"
"Average Weekly Earnings","2008Q2","Industry (B to E)","Production, transport, craft and other manual workers","Euro","646.07"
"Average Weekly Earnings","2008Q2","Electricity, water supply and waste management (D,E)","All employees","Euro","1178.57"
"Average Weekly Earnings","2008Q2","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro","1764.69"
"Average Weekly Earnings","2008Q2","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro","912.62"
"Average Weekly Earnings","2008Q2","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro","1090.1"
"Average Weekly Earnings","2008Q2","Financial, insurance and real estate activities (K,L)","All employees","Euro","1076.68"
"Average Weekly Earnings","2008Q2","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro","1550.57"
"Average Weekly Earnings","2008Q2","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro","649.12"
